companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;receitas_Cagr5;liquidezMediaDiaria;vpa;lpa;valorMercado;dy;lucros_Cagr5
769;CAIXA SEGURIDADE PARTICIPAÇÕES S.A.;CXSE3;8,33;9,8008;2,1262;8,6388;2,0982;8,1989;;;;;19,5162;-2,3859;0,0;21,69;21,41;21,12;-0,11;-0,44;0,99;0,01;9,23;0,23699736;;14593197,37;3,9177;0,8499;24990000000,0;7,786;18,54
184;KEPLER WEBER;KEPL3;22,46;5,7025;3,1966;4,1493;1,5355;3,8385;35,87;28,11;20,45;1,1664;5,6901;-5,4594;1,32;56,06;26,93;45,63;-0,24;-0,31;0,48;0,52;1,6;0,01970989;20,87;12282455,37;7,0262;3,9386;2018257059,9;8,8852;
422;ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA;ADHM3;1,56;-4,0874;-1,2864;-5,69;105,123;-5,69;100,0;-13548,48;-18860,61;770,9021;-1,429;-116,1633;0,14;-31,47;-2571,9;22,61;;0,0;-81,72;82,72;0,0;-0,5811256;;;-1,2127;-0,3817;25439770,2;;
173;ATMA SA;ATMP3;1,16;-0,0653;-0,1126;-0,0819;0,0193;-0,7881;-0,79;-46,26;-58,02;0,0379;-0,038;-0,0264;0,51;-172,5;-29,6;-459,43;;-0,71;-0,17;1,17;0,35;-0,0001794;-12,49;24890,7;-10,2986;-17,7655;30984012,96;;
219;LOJAS AMERICANAS;LAME4;6,57;21,055;1,899;10,9791;0,2829;16,8629;32,9;4,35;2,27;0,4777;1,1941;-0,6538;0,59;9,02;1,34;2,89;1,01;5,87;0,15;0,63;1,72;-46,75440325;3,5;;3,4597;0,312;12391135396,59;;18,61
219;LOJAS AMERICANAS;LAME3;6,6;21,1512;1,9077;11,0293;0,2842;16,8629;32,9;4,35;2,27;0,4799;1,1996;-0,6568;0,59;9,02;1,34;2,89;1,01;5,87;0,15;0,63;1,72;-46,96789368;3,5;;3,4597;0,312;12391135396,59;;18,61
417;HYPERA;HYPE3;44,51;17,3904;2,687;12,1159;1,2503;14,9656;63,23;33,0;22,99;3,9983;8,5102;-1,8675;0,31;15,45;7,19;11,64;0,63;2,85;0,47;0,53;1,8;0,68423796;12,96;160492916,81;16,5651;2,5595;28193560831,73;2,7678;6,6
650;3R PETROLEUM ÓLEO E GÁS S.A;RRRP3;43,69;40,8315;2,0545;17,5905;1,1019;17,0321;55,99;33,03;14,23;5,8095;10,3401;-1,4271;0,19;5,03;2,7;6,22;-0,07;-0,56;0,54;0,46;1,88;-0,19663157;;212169207,37;21,2656;1,07;8872898642,08;;
407;VIBRA ENERGIA S.A.;VBBR3;15,92;9,292;1,4678;5,3158;0,4692;9,0429;4,61;1,99;1,14;0,1056;1,6694;-0,972;4,44;15,8;5,05;9,79;1,03;3,73;0,32;0,68;2,19;-0,16360124;8,47;151648139,96;10,8464;1,7133;18546800000,0;5,378;
568;QUALITY SOFTWARE S.A.;QUSW3;0,0;0,0;0,0;0,0;0,0;2,01;29,9;12,51;4,11;0,0;0,0;0,0;0,93;13,62;3,81;16,95;0,83;2,01;0,28;0,72;1,51;0,0;16,77;;71,7006;9,7659;0,0;;80,82
683;WESTWING COMERCIO VAREJISTA S.A.;WEST3;0,92;-2,1857;0,2889;-1,3328;0,2387;0,3756;41,97;-27,71;-16,9;0,3694;0,4307;-0,6819;0,65;-13,22;-10,92;-23,69;-0,37;1,71;0,83;0,17;6,77;-0,04236794;;251646,44;3,1842;-0,4209;101527312,08;;
389;TRONOX PIGMENTOS DO BRASIL S.A.;CRPG3;50,84;13,9305;1,619;15,9593;1,2573;9,2097;12,6;10,13;11,61;1,617;2,7153;-3,0032;0,78;11,62;9,03;8,91;-0,17;-1,68;0,78;0,22;4,91;-0,22010235;17,77;5500,0;31,4027;3,6495;1006822028,32;9,3532;4,74
389;TRONOX PIGMENTOS DO BRASIL S.A.;CRPG5;26,0;7,1242;0,828;8,1617;0,643;9,2097;12,6;10,13;11,61;0,827;1,3886;-1,5358;0,78;11,62;9,03;8,91;-0,17;-1,68;0,78;0,22;4,91;-0,11256217;17,77;152049,48;31,4027;3,6495;1006822028,32;18,2892;4,74
