TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
MBRF11;679,00;10,000000;17,08;1.136,01;0,60;176.794,42;4,57;3,54;-17,86;115.491.134,72;3.633,00;Passiva;101.664,00
MCCI11;95,50;1,100000;13,05;92,90;1,03;3.127.184,79;3,38;25,58;;1.355.781.828,64;100.491,00;Ativa;14.594.179,00
MORC11;93,67;1,100000;16,93;97,78;0,96;309.173,41;1,14;;;126.328.211,41;3.957,00;Ativa;1.291.942,00
PVBI11;92,50;0,570000;7,26;99,06;0,94;2.651.869,31;0,80;;;994.529.655,29;80.724,00;Ativa;10.039.493,00
QAGR11;47,00;0,410000;10,06;55,84;0,84;346.165,28;1,62;;;281.414.121,00;25.582,00;Ativa;5.040.000,00
QAMI11;85,37;0,800000;17,39;92,29;0,93;25.365,82;1,94;;;73.958.014,12;1.548,00;Ativa;801.398,00
DPRO11;99,99;1,200000;2,55;98,19;1,02;18.791,90;7,13;;;36.479.140,06;107,00;Ativa;371.500,00
ERCR11;76.000,00;139,449698;13,57;69.310,60;1,10;76.000,00;0,15;;;164.681.982,75;10,00;Passiva;2.376,00
ERPA11;125,00;0,689563;2,50;116,20;1,08;199.047,41;1,20;;;58.205.113,95;336,00;Passiva;500.922,00
EVBI11;99,31;0,750000;9,05;100,47;0,99;66.895,49;19,20;;;140.436.307,81;336,00;Ativa;1.397.770,00
FAED11;159,35;1,538803;10,50;216,18;0,74;64.063,79;1,67;-0,20;-16,83;138.824.310,87;4.810,00;Passiva;642.168,00
FCFL11;118,00;0,761571;8,34;104,79;1,13;330.033,18;0,57;14,75;-0,56;364.041.743,44;4.016,00;Ativa;3.474.010,00
QIRI11;78,04;0,660000;9,30;89,61;0,87;6.867,57;100,31;;;13.441.852,95;173,00;Ativa;150.000,00
CCRF11;100,00;0,700000;14,01;97,34;0,99;387.607,95;28,94;;;153.008.067,83;283,00;Ativa;1.571.900,00
CRFF11;77,98;0,630000;8,30;90,49;0,86;108.490,49;3,76;2,13;-5,74;62.440.415,38;1.711,00;Ativa;690.040,00
CXRI11;69,01;0,550000;9,20;89,62;0,77;28.815,82;2,20;-25,99;-60,84;141.216.435,37;2.569,00;Ativa;1.575.760,00
CXTL11;380,02;0,973564;1,24;671,55;0,57;17.759,93;2,83;0,01;-0,17;35.993.284,83;605,00;Passiva;53.597,00
CYCR11;8,63;1,000000;169,64;95,73;0,09;220.773,87;24,67;;;155.733.650,14;2.212,00;Ativa;1.631.584,00
DAMT11B;16,79;;0,00;12,64;1,33;2.578,82;0,04;;;91.238.497,03;507,00;Passiva;7.219.062,00
RBCB11;19,00;0,300000;0,00;0,00;;;;-15,04;-6,80;0,00;462,00;Ativa;53.100,00
CPTS11;89,81;1,050000;14,40;91,83;0,98;6.322.153,56;0,20;17,25;-5,72;2.918.676.624,71;192.637,00;Ativa;31.782.814,00
BLMC11;85,21;0,790000;15,63;98,21;0,87;17.581,67;2,11;;;39.235.884,65;411,00;Ativa;399.500,00
BPML11;68,87;0,300000;4,30;123,76;0,56;37.327,00;2,77;;-14,96;532.814.253,64;1.563,00;Passiva;4.305.079,00
BTWR11;105,49;0,484730;4,75;111,61;0,95;28.291,20;2,93;;;90.324.451,30;65,00;Passiva;809.269,00
BLMG11;87,00;0,800000;11,34;92,46;0,94;566.685,05;5,04;;;352.309.146,03;11.344,00;Ativa;3.810.588,00
BLMO11;20.000,00;32,670000;0,95;29.432,54;0,68;510.000,00;2,01;;;111.755.359,35;96,00;Ativa;3.797,00
BLMR11;7,45;0,075000;11,79;8,45;0,89;469.046,00;2,39;;;215.896.183,24;14.844,00;Ativa;25.541.630,00
BMLC11;105,95;0,730000;8,00;109,18;0,97;175.562,47;2,90;12,42;3,25;109.009.776,98;1.398,00;Ativa;998.405,00
BNFS11;125,00;1,503423;13,11;99,25;1,26;106.834,67;5,60;13,77;-0,79;69.474.131,47;3.820,00;Ativa;700.000,00
BPRP11;97,50;0,863203;10,51;108,55;0,90;1.065,00;0,09;4,64;;146.524.828,30;184,00;Passiva;1.349.837,00
BRCO11;112,98;0,700000;6,90;119,07;0,95;3.315.323,36;1,88;;;1.759.732.035,14;99.452,00;Ativa;14.778.781,00
BRCR11;66,20;0,470000;8,78;100,42;0,66;2.201.717,03;1,01;-0,94;-10,29;2.674.906.709,91;154.436,00;Ativa;26.638.202,00
BRIM11;1.030,22;15,000000;19,46;1.126,74;0,91;1.020,40;4,02;;;139.870.728,22;205,00;Ativa;124.137,00
RBCO11;44,00;0,200000;9,41;89,30;0,49;233.686,21;0,29;-14,82;-24,68;337.475.561,23;9.214,00;Ativa;3.779.001,00
BBPO11;93,00;0,920000;11,57;100,19;0,93;1.311.833,46;4,34;-5,54;-15,51;1.595.070.071,99;73.207,00;Passiva;15.919.690,00
BBRC11;99,51;0,990000;13,39;106,81;0,93;117.317,05;4,94;-0,53;-10,12;169.826.705,12;9.138,00;Passiva;1.590.000,00
BCFF11;68,34;0,560000;9,54;78,31;0,87;2.618.543,59;5,61;4,72;-10,68;1.972.331.202,27;309.763,00;Ativa;25.186.378,00
BCIA11;93,50;0,760000;8,93;108,44;0,86;311.568,92;0,15;-16,61;-16,79;403.286.012,89;14.353,00;Ativa;3.719.038,00
BCRI11;103,65;1,100000;14,85;103,50;1,00;810.657,13;4,27;17,94;-3,73;647.665.969,70;47.877,00;Ativa;6.257.873,00
BICR11;101,99;0,730000;8,11;100,48;1,02;1.956,00;35,89;;;50.239.753,60;519,00;Ativa;500.000,00
BZEL11;0,00;;0,00;108,15;;;0,07;;;382.629.160,43;3,00;Ativa;3.538.046,00
RBDS11;3,73;2,354143;0,00;20,51;0,18;560,64;28,39;18,99;-62,46;2.594.371,61;978,00;Ativa;126.523,00
BTSG11;0,00;0,870000;0,00;133,34;;;0,77;;;103.338.844,45;56,00;Ativa;775.015,00
DRIT11B;91,00;0,640000;7,59;126,16;0,72;672,48;0,39;4,07;-18,81;58.447.006,37;355,00;Ativa;463.277,00
FISC11;165,00;0,240000;0,61;115,92;1,42;;0,42;;;197.058.206,88;66,00;Ativa;1.699.996,00
RBED11;133,05;1,230000;10,27;141,06;0,94;123.323,67;4,14;5,60;-5,91;285.165.680,20;12.537,00;Ativa;2.021.621,00
RBFF11;56,75;0,510000;10,27;67,86;0,84;1.240.807,10;2,93;-12,92;-11,24;254.416.009,26;20.258,00;Ativa;3.749.215,00
RBGS11;28,45;0,176600;1,64;90,78;0,31;49.400,90;0,52;4,91;-17,95;97.865.283,71;2.808,00;Passiva;1.078.000,00
RBHY11;98,37;1,320000;17,51;96,31;1,02;398.448,28;8,51;;;182.362.341,33;3.364,00;Ativa;1.893.505,00
RBIR11;68,00;0,240000;0,35;95,89;0,71;45.242,82;5,67;;;146.580.170,57;1.408,00;Ativa;1.528.615,00
RBLG11;98,99;0,880000;9,86;101,85;0,97;2.490,33;1,56;;;65.207.327,49;170,00;Ativa;640.199,00
RBRD11;39,93;0,300000;10,49;68,75;0,58;46.428,33;3,34;-43,59;-29,09;127.313.936,34;10.107,00;Passiva;1.851.786,00
RBVO11;10,92;0,020000;4,15;17,15;0,63;4.925,31;5,81;-35,24;-35,11;8.847.165,06;2.850,00;--;515.824,00
RCFA11;3,80;;0,00;21,93;0,17;1.390,89;0,03;;-35,10;12.804.763,89;278,00;Passiva;583.926,00
RCFF11;97,99;1,750970;2,63;94,25;1,04;11.623,07;15,35;;;30.461.200,14;80,00;Ativa;323.200,00
RCRB11;141,00;0,720000;5,90;197,16;0,72;779.299,23;1,02;-6,08;-7,55;727.639.559,84;30.419,00;Ativa;3.690.695,00
REIT11;479,86;2,750000;3,41;484,75;0,99;719,00;44,10;;-28,10;12.744.434,35;64,00;Ativa;26.291,00
ROOF11;850,00;11,160000;1,82;830,35;1,02;170.425,00;12,42;;;64.347.722,75;74,00;Ativa;77.495,00
RVBI11;77,58;0,750000;11,60;86,86;0,89;292.377,56;3,67;;;125.084.674,60;12.112,00;Ativa;1.440.000,00
SADI11;90,85;1,050000;11,71;99,94;0,91;957.574,97;1,67;46,77;-1,13;317.821.582,62;4.957,00;Ativa;3.180.207,00
SAIC11B;37,88;0,662215;0,00;55,09;0,69;568,00;4,14;;-12,98;78.763.046,34;49,00;Passiva;1.429.740,00
ATCR11;0,00;0,251490;0,00;80,77;;;0,93;;;75.029.525,66;33,00;Ativa;928.908,00
DOVL11B;21,39;26,232293;125,29;1.219,35;0,02;;5,33;;;80.971.834,10;52,00;Ativa;66.406,00
DVFF11;74,27;0,700000;11,94;95,67;0,78;57.033,95;5,38;;;105.325.884,25;641,00;Ativa;1.100.950,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
FMOF11;64,95;0,140000;0,22;122,76;0,53;672,08;1,37;18,20;-9,02;62.363.589,80;280,00;Passiva;508.008,00
RZAK11;102,48;1,450000;16,69;93,49;1,09;2.357.142,18;6,09;;;318.162.461,02;14.570,00;Ativa;3.403.150,00
RZTR11;104,38;1,250000;14,07;97,53;1,07;3.370.212,49;7,74;;;1.077.478.349,84;67.848,00;Ativa;11.048.018,00
SARE11;76,32;0,650000;9,99;98,04;0,78;1.504.333,56;10,03;;;905.364.298,58;28.188,00;Ativa;9.234.329,00
SNFF11;87,18;0,650000;9,72;94,23;0,93;462.251,82;12,07;;;266.673.120,80;32.250,00;Ativa;2.830.000,00
SPMO11;99,00;;0,00;75,65;1,31;327,67;0,00;;;136.684.177,73;3,00;Ativa;1.806.830,00
CXCO11;77,49;0,710000;10,67;96,54;0,80;144.893,38;1,38;;;378.866.723,42;13.263,00;Passiva;3.924.500,00
RBBV11;100,00;0,224057;0,00;100,84;0,99;;1,01;75,40;3,57;126.470.249,69;3.475,00;Passiva;1.254.164,00
RBHG11;88,39;1,200000;16,33;95,05;0,93;274.313,41;11,87;;;164.203.883,52;7.240,00;Ativa;1.727.582,00
SEQR11;67,24;0,665200;11,42;95,97;0,70;275.892,03;0,73;;;154.376.831,45;4.445,00;Ativa;1.608.552,00
SNCI11;100,09;1,000000;15,16;97,58;1,03;1.635.494,23;5,61;;;360.776.071,18;43.347,00;Ativa;3.697.298,00
SOLR11;1.128,06;8,746402;8,04;1.014,49;1,11;1.058,50;0,98;;;63.794.372,91;52,00;Ativa;62.883,00
SPTW11;43,97;0,400000;12,76;53,06;0,82;144.255,92;6,01;-14,54;-22,41;95.404.247,53;32.444,00;Passiva;1.798.000,00
SPXS11;95,00;0,324859;0,93;96,07;0,99;215.320,49;29,65;;;118.948.035,56;2.073,00;Ativa;1.238.196,00
AQLL11;385,03;;0,00;1.002,75;0,38;;1,14;;2,27;145.423.003,98;56,00;Ativa;145.023,00
DLMT11;0,00;0,014371;0,00;0,66;;;3,14;;;8.789.378,18;9,00;Ativa;13.225.796,00
FATN11;94,50;0,890000;10,18;101,12;0,93;173.801,15;6,54;;;112.607.476,18;613,00;Ativa;1.113.580,00
JRDM11;86,35;0,723285;7,44;87,37;0,99;100.536,49;2,71;3,68;-0,63;220.434.659,42;4.363,00;Passiva;2.522.968,00
LFTT11;88,97;3,668145;9,81;47,37;1,88;18.304,70;14,43;;;350.764.043,31;366,00;Ativa;7.404.543,00
