TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BSEV3;9,00;;10,22;-10,84;0,78;26,77;17,92;5,55;3,17;5,46;2,30;;0,57;-1,59;-1,13;0,39;-106,05;7,59;30,90;-0,07;1,07;1,37;10,88;;;-0,83;0,88;-0,06;9.183.864.834,00
BSLI3;19,27;6,45;12,53;2,91;0,19;30,97;12,10;13,11;13,58;12,74;;;1,64;-0,73;-0,21;0,30;23,23;1,49;;0,06;0,94;0,11;5,49;22,72;13.193,65;6,62;1,54;0,48;6.563.168.055,00
BSLI4;14,05;9,73;9,14;2,12;0,14;30,97;12,10;13,11;9,90;12,74;;;1,20;-0,53;-0,15;0,30;23,23;1,49;;0,06;0,94;0,11;5,49;22,72;21.474,90;6,62;1,54;0,35;6.563.168.055,00
BTTL4;11.091,73;;3.113,75;2.107,63;664,84;19,61;6,20;5,82;2.922,04;3,53;0,50;0,36;181,26;2.346,36;-2.644,85;1,61;67,69;21,35;37,61;0,32;0,68;3,67;44,52;88,90;;5,26;3,56;93,97;171.045.137,68
CALI3;10,50;41,14;1.001,80;8,36;0,17;32,77;10,70;0,05;4,89;18,86;13,96;23,86;0,52;0,34;-0,54;3,58;0,83;0,02;5,44;0,02;0,98;0,32;21,88;-60,79;8.443,22;1,26;0,01;-10,17;39.070.195,50
CALI4;50,00;8,64;4.770,48;39,82;0,80;32,77;10,70;0,05;23,31;18,86;13,96;23,86;2,49;1,62;-2,57;3,58;0,83;0,02;5,44;0,02;0,98;0,32;21,88;-60,79;;1,26;0,01;-48,41;39.070.195,50
CAMB3;5,85;2,26;4,77;1,74;0,71;45,10;19,62;15,22;3,70;5,17;1,48;0,69;0,73;6,41;-1,26;1,34;36,45;14,80;25,93;0,41;0,60;0,97;-2,78;;222.925,21;3,37;1,23;0,07;246.886.467,20
CAMB4;6,25;1,29;5,10;1,86;0,75;45,10;19,62;15,22;3,95;5,17;1,48;0,69;0,78;6,85;-1,34;1,34;36,45;14,80;25,93;0,41;0,60;0,97;-2,78;;;3,37;1,23;0,07;246.886.467,20
CAML3;10,04;3,61;33,16;1,29;0,42;21,00;7,18;1,19;5,49;8,95;3,49;0,82;0,39;1,32;-1,14;2,01;3,89;1,26;9,39;0,32;0,68;1,06;12,75;-11,57;11.681.813,44;7,78;0,30;-0,43;3.592.800.000,00
CARD3;14,51;5,63;9,21;1,73;1,05;34,75;18,45;12,62;6,29;6,51;0,22;0,06;1,16;34,01;-1,47;1,12;18,79;11,41;15,68;0,61;0,39;0,90;1,99;13,55;2.543.344,55;8,39;1,58;0,42;606.518.000,00
CASH3;1,25;;-15,54;1,37;0,82;-42,30;-42,29;-21,32;-7,84;-2,22;5,62;-0,98;3,31;2,25;-2,46;2,20;-8,81;-5,26;-20,85;0,60;0,39;0,25;;;54.457.097,06;0,91;-0,08;0,01;1.081.164.923,75
CASN3;15,01;0,23;137,59;8,29;3,56;45,07;17,44;8,20;64,72;56,84;6,47;0,83;11,29;-160,74;-4,00;0,83;6,03;2,59;5,46;0,43;0,57;0,32;5,83;29,57;;1,81;0,11;-9,40;11.094.218.905,01
CASN4;8,37;0,46;76,72;4,62;1,98;45,07;17,44;8,20;36,09;56,84;6,47;0,83;6,29;-89,63;-2,23;0,83;6,03;2,59;5,46;0,43;0,57;0,32;5,83;29,57;;1,81;0,11;-5,24;11.094.218.905,01
CATA3;103,61;15,54;0,88;0,10;0,04;25,84;7,06;6,40;0,80;3,04;2,24;0,28;0,06;0,19;-0,11;1,69;11,29;5,08;7,18;0,45;0,55;0,79;1,83;56,32;;1.043,71;117,82;0,00;14.940.354,78
CATA4;0,00;;0,00;0,00;0,00;25,84;7,06;6,40;0,00;3,04;2,24;0,28;0,00;0,00;0,00;1,69;11,29;5,08;7,18;0,45;0,55;0,79;1,83;56,32;;1.043,71;117,82;0,00;14.940.354,78
CBAV3;13,22;2,18;6,47;1,45;0,64;26,08;34,42;36,54;6,86;8,04;1,25;0,26;2,36;2,86;-1,02;2,57;22,36;9,95;12,00;0,45;0,54;0,27;;;44.839.466,47;9,15;2,04;-0,02;7.793.499.995,64
CBEE3;15,50;2,31;79,85;0,78;0,22;17,76;9,27;0,53;4,56;9,95;5,40;0,93;0,42;-2,79;-0,28;0,74;0,98;0,27;7,94;0,28;0,72;0,52;13,66;;1.550,00;19,84;0,19;-0,21;3.723.253.775,50
CCRO3;13,83;1,18;7,36;2,39;0,58;59,52;52,73;21,51;3,00;5,26;2,26;1,80;1,58;6,27;-0,75;1,70;32,45;7,92;16,17;0,24;0,75;0,37;4,14;17,23;117.518.976,44;5,79;1,88;0,02;27.916.400.000,00
CCXC3;1,16;;-0,10;-0,03;0,39;;;;-2,62;-2,58;0,04;;;-0,03;;0,06;-26,10;-403,26;0,97;-15,45;16,45;0,00;;;;-45,41;-11,85;0,00;1.973.425,64
CEAB3;3,32;;4,13;0,36;0,11;48,13;1,57;4,11;10,83;23,45;12,95;0,43;0,17;0,86;-0,22;1,37;8,71;2,75;-5,69;0,32;0,68;0,67;1,51;;22.028.775,91;9,23;0,80;0,00;992.549.118,96
CEBR3;12,65;119,56;4,77;0,98;0,69;54,57;62,41;46,43;3,55;1,38;-1,96;-0,54;2,22;1,54;-1,43;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;48.662,15;12,88;2,65;-0,05;859.402.738,50
CEBR5;10,07;150,20;3,80;0,78;0,55;54,57;62,41;46,43;2,83;1,38;-1,96;-0,54;1,76;1,22;-1,14;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;97.257,94;12,88;2,65;-0,04;859.402.738,50
CEBR6;11,09;150,02;4,18;0,86;0,60;54,57;62,41;46,43;3,11;1,38;-1,96;-0,54;1,94;1,35;-1,26;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;273.240,82;12,88;2,65;-0,05;859.402.738,50
