TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VALE3;74,76;7,61;3,54;1,74;0,75;45,17;39,88;42,35;3,76;4,21;0,46;0,21;1,50;39,78;-0,91;1,12;49,22;21,16;28,76;0,43;0,57;0,50;15,85;40,33;1.812.185.177,91;42,94;21,13;-0,17;338.882.305.922,80
VAMO3;13,22;1,98;20,27;3,73;0,81;42,59;32,79;13,61;8,41;11,93;3,58;1,58;2,76;-99,89;-1,09;0,97;18,37;4,01;13,48;0,22;0,78;0,29;64,03;52,64;49.443.623,23;3,55;0,65;0,31;13.453.221.366,40
VBBR3;13,31;6,43;10,09;1,23;0,38;4,13;2,18;0,85;3,91;7,26;3,34;1,05;0,09;1,23;-0,82;2,31;12,19;3,74;11,89;0,31;0,69;4,41;16,50;5,95;155.348.127,09;10,83;1,32;-0,26;15.529.450.000,00
VIIA3;1,82;;-8,51;0,55;0,08;31,04;3,76;-1,11;2,51;8,84;6,34;1,39;0,09;-1,11;-0,16;0,87;-6,47;-0,96;2,86;0,15;0,85;0,87;3,76;;133.139.905,34;3,31;-0,21;-0,56;2.909.144.945,98
VITT3;11,04;3,31;10,53;2,72;1,65;38,35;21,30;17,62;8,71;9,63;0,92;0,29;1,86;4,45;-5,09;2,21;25,85;15,65;18,91;0,61;0,39;0,89;;;2.725.810,57;4,06;1,05;0,27;1.579.262.141,28
VIVA3;20,77;0,26;13,60;2,96;1,67;68,89;20,41;19,57;13,03;12,80;-0,24;-0,05;2,66;4,74;-4,19;2,42;21,77;12,31;18,40;0,57;0,43;0,63;;;47.505.330,31;7,02;1,53;0,65;4.908.189.639,82
VIVR3;0,36;;-6,34;-0,47;0,23;31,88;-37,37;-10,93;-1,85;-6,95;-5,09;;0,69;-0,43;-0,52;0,51;-7,34;-3,64;-79,85;-0,50;1,50;0,33;83,05;;2.519.694,37;-0,77;-0,06;0,08;84.522.417,12
VIVT3;40,43;8,74;16,46;0,98;0,56;42,90;13,73;8,50;10,19;12,86;2,58;0,25;1,40;-13,76;-0,66;0,78;5,97;3,43;6,64;0,57;0,43;0,40;2,14;-2,38;81.619.977,34;41,15;2,46;-0,48;67.839.843.490,18
VIVT4;45,34;;18,46;1,10;0,63;42,90;13,73;8,50;11,43;12,86;2,58;0,25;1,57;-15,43;-0,74;0,78;5,97;3,43;6,64;0,57;0,43;0,40;2,14;-2,38;;41,15;2,46;-0,53;67.839.843.490,18
VLID3;10,44;2,52;34,90;0,67;0,32;35,63;16,10;1,30;2,82;4,42;1,59;0,38;0,45;1,40;-0,63;1,87;1,92;0,92;13,27;0,48;0,52;0,71;3,60;-2,43;2.992.753,14;15,55;0,30;-0,59;854.371.755,00
VSPT3;4,99;;-0,28;0,36;0,11;-4,40;-59,38;-83,37;-0,39;-0,76;-0,37;0,34;0,23;-2,10;-0,13;0,72;-128,19;-38,63;-74,25;0,30;0,70;0,46;7,49;;;13,88;-17,80;0,00;712.610.842,16
VSPT4;0,00;;0,00;0,00;0,00;-4,40;-59,38;-83,37;0,00;-0,76;-0,37;0,34;0,00;0,00;0,00;0,72;-128,19;-38,63;-74,25;0,30;0,70;0,46;7,49;;;13,88;-17,80;0,00;712.610.842,16
VSTE3;15,96;;32,75;1,94;1,14;61,96;20,06;5,19;8,47;9,53;1,06;0,24;1,70;14,62;-1,66;1,33;5,91;3,47;10,36;0,59;0,41;0,67;-3,13;-33,36;691.676,91;8,25;0,49;-0,31;1.810.293.707,04
VULC3;12,43;3,66;6,51;1,79;1,21;36,95;17,48;18,52;6,89;7,39;0,50;0,13;1,20;2,99;-3,30;2,80;27,45;18,64;20,13;0,68;0,32;1,01;14,97;19,99;6.734.847,51;6,96;1,91;0,13;3.056.738.912,92
VVEO3;16,00;2,71;17,63;2,01;0,48;15,97;5,87;2,97;8,92;11,48;2,56;0,58;0,52;1,89;-1,17;1,75;11,39;2,72;8,23;0,24;0,76;0,91;;;6.488.748,09;7,97;0,91;-0,51;4.577.973.760,00
WEGE3;40,38;1,37;40,28;11,12;6,02;29,08;16,89;14,07;33,55;33,14;-0,30;-0,10;5,67;18,05;-19,98;1,91;27,60;14,96;22,50;0,54;0,46;1,06;25,71;29,80;253.468.580,00;3,63;1,00;2,32;168.942.049.419,50
WEST3;1,19;;-2,42;0,43;0,31;42,15;-32,81;-21,13;-1,56;-0,04;1,52;-0,41;0,51;0,71;-0,84;3,35;-17,59;-12,86;-28,11;0,73;0,27;0,61;367,94;;167.333,57;2,80;-0,49;-0,08;131.323.371,06
WHRL3;4,38;4,27;15,80;3,02;0,78;15,65;6,99;3,86;8,72;8,25;-0,52;-0,18;0,61;27,96;-2,67;1,04;19,10;4,94;18,78;0,26;0,74;1,28;12,32;-0,89;8.481,41;1,45;0,28;-0,28;6.624.870.366,54
WHRL4;4,47;4,60;16,12;3,08;0,80;15,65;6,99;3,86;8,90;8,25;-0,52;-0,18;0,62;28,53;-2,73;1,04;19,10;4,94;18,78;0,26;0,74;1,28;12,32;-0,89;38.901,31;1,45;0,28;-0,29;6.624.870.366,54
WIZC3;5,77;;6,85;1,02;0,40;57,96;37,65;14,19;2,58;2,84;0,26;0,10;0,97;411,72;-0,51;1,00;14,88;5,85;22,50;0,39;0,61;0,41;12,37;-3,31;4.173.354,94;5,66;0,84;-0,24;922.665.017,14
WLMM3;22,00;7,61;6,83;1,29;0,99;13,34;7,75;5,94;5,24;5,08;0,17;0,04;0,41;2,49;-2,25;3,41;18,85;14,45;15,45;0,77;0,23;2,43;32,16;;4.400,00;17,09;3,22;0,62;750.521.942,50
WLMM4;19,45;6,46;6,04;1,14;0,87;13,34;7,75;5,94;4,63;5,08;0,17;0,04;0,36;2,20;-1,99;3,41;18,85;14,45;15,45;0,77;0,23;2,43;32,16;;33.009,96;17,09;3,22;0,55;750.521.942,50
YDUQ3;7,60;1,66;-40,33;0,79;0,26;56,57;13,53;-1,28;3,80;10,71;6,89;1,44;0,51;2,37;-0,34;1,90;-1,97;-0,64;7,32;0,33;0,67;0,50;6,20;;32.766.109,63;9,58;-0,19;0,29;2.358.347.933,13
ZAMP3;3,88;;-19,15;0,72;0,26;64,39;2,65;-1,53;11,04;16,35;5,11;0,33;0,29;16,46;-0,34;1,07;-3,76;-1,35;3,53;0,36;0,64;0,88;15,36;;7.403.224,37;5,39;-0,20;0,24;1.087.654.015,65
