TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BPRP11;109,90;0,900000;9,65;109,15;1,01;1.056,40;0,17;4,84;0,59;147.336.512,12;175,00;Passiva;1.349.837,00
BRCO11;118,13;0,780000;7,48;121,26;0,96;4.007.152,63;1,05;6,80;-2,36;1.792.086.182,71;111.432,00;Ativa;14.778.781,00
BRCR11;60,70;0,450000;9,23;98,71;0,62;1.684.736,77;0,58;-0,07;-14,50;2.629.399.439,84;156.113,00;Ativa;26.638.202,00
BREV11;95,00;0,580000;8,60;117,23;0,81;2.760,92;0,80;13,63;;113.380.386,32;267,00;Ativa;967.201,00
BRHT11B;86,80;;0,00;76,81;1,13;;1,65;;;141.461.259,92;11,00;Ativa;1.841.677,00
BRIM11;1.030,22;49,000000;15,68;1.118,37;0,92;1.020,40;5,87;;;138.831.849,28;221,00;Ativa;124.137,00
BRIP11;950,00;107,000000;11,26;958,45;0,99;46.236,00;1,83;;;206.521.577,91;256,00;Ativa;215.475,00
BRIX11;0,00;;0,00;962,12;;;5,30;;;69.163.325,54;54,00;Ativa;71.886,00
BRLA11;150,00;1,100000;7,35;158,47;1,03;488.923,25;0,18;;;489.871.289,64;272,00;Passiva;3.091.298,00
BROF11;69,95;0,571037;0,82;106,32;0,66;1.923.482,60;0,21;;;1.234.416.897,85;6.266,00;;11.610.812,00
BROL11;0,00;;0,00;;;;;;;;;;5.500.000,00
BRSE11;0,00;;0,00;1.437,16;;;402,49;;;2.874.325,00;12,00;Ativa;2.000,00
BTAL11;92,26;0,800000;10,77;105,16;0,88;948.970,93;2,77;;;629.170.033,15;43.321,00;Ativa;5.982.736,00
BTCI11;9,22;0,106000;13,91;10,15;0,91;2.045.225,33;9,92;10,81;-55,79;1.010.398.248,92;62.796,00;Ativa;99.521.172,00
BTCR11;88,00;0,900000;5,80;95,27;0,92;652.774,65;8,00;32,78;-1,83;458.252.683,73;16.934,00;Ativa;4.810.097,00
BTLG11;100,97;0,740000;8,86;98,26;1,03;5.114.653,63;2,78;9,76;-1,31;2.069.982.451,70;214.705,00;Ativa;21.066.892,00
BTRA11;79,17;0,800000;12,27;117,87;0,67;635.381,87;6,47;;;396.592.303,25;20.675,00;Ativa;3.364.559,00
BTSG11;101,00;0,870000;10,24;137,70;0,73;10.100,00;0,77;;;106.722.270,70;58,00;Ativa;775.015,00
BTSI11;0,00;0,720000;0,00;104,48;;;0,04;;;195.373.635,30;91,00;Ativa;1.870.000,00
BTWR11;107,00;0,720000;5,78;112,00;0,96;428,00;1,34;;;90.638.912,19;61,00;Passiva;809.269,00
BVAR11;0,00;12,910000;0,00;1.103,94;;;3,72;11,06;;690.558.768,20;69,00;Passiva;625.540,00
BZEL11;0,00;5,092421;0,00;117,42;;;0,04;;;415.435.308,21;3,00;Ativa;3.538.046,00
BZLI11;17,00;;0,00;10,63;1,60;283,18;0,09;;6,69;446.792.357,66;18,00;Ativa;42.046.222,00
CACR11;104,95;1,520000;16,79;103,02;1,02;455.753,57;3,57;18,95;1,63;186.195.662,16;9.752,00;Ativa;1.807.434,00
CARE11;1,98;0,008385;0,00;8,34;0,24;37.438,33;0,19;;-18,21;298.495.299,69;11.715,00;Ativa;35.769.919,00
CBOP11;36,42;0,120000;14,13;73,87;0,50;9.920,13;1,51;-5,39;-21,65;104.519.562,06;3.507,00;Passiva;1.415.000,00
CCLB11;0,00;;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
CCME11;110,00;0,900000;6,40;100,70;1,09;757,00;21,00;;;251.243.073,00;75,00;Ativa;2.495.084,00
CCRF11;83,39;0,568934;12,17;97,67;0,85;3.097,92;6,55;;;153.528.755,79;322,00;Ativa;1.571.900,00
CEOC11;57,40;0,637646;11,90;78,51;0,73;81.038,70;2,28;6,94;-12,66;142.558.458,21;4.852,00;Passiva;1.815.696,00
CFHI11;0,00;36,511390;0,00;697,43;;;1,33;;;65.977.209,26;54,00;Ativa;94.600,00
CFII11;0,00;;0,00;965,31;;;10,30;;;30.486.425,60;57,00;Ativa;31.582,00
CIXR11;0,00;;0,00;;;;;;;;;;2.834.551,00
