TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CXW;9,51;;9,34;0,76;0,35;23,06;13,05;6,25;2,89;8,78;4,31;0,73;0,58;12,86;-0,40;1,31;8,15;3,79;7,80;0,46;0,54;0,61;0,89;-7,23;;12,49;1,02;;1.080.878.070,00
DBRG;15,83;0,25;-9,40;1,77;0,24;63,69;-19,80;-24,63;6,52;-4,94;6,75;-1,02;2,31;;-0,24;;-18,80;-2,54;-11,94;0,14;0,85;0,10;-15,25;;;8,96;-1,68;;2.565.268.913,00
DEA;14,41;7,36;48,02;1,06;0,48;65,90;26,01;9,58;8,10;33,44;15,76;0,94;4,60;;-0,48;;2,20;0,99;3,05;0,45;0,55;0,10;17,58;47,90;;13,63;0,30;;1.345.748.459,00
DEI;14,17;6,00;26,73;0,96;0,25;65,65;24,42;8,94;3,77;29,92;20,14;1,99;2,39;;-0,25;;3,61;0,93;3,17;0,26;0,74;0,10;4,12;0,57;;14,69;0,53;;2.406.203.449,00
DHC;2,49;1,61;-1,05;0,23;0,11;14,59;-6,14;-43,11;3,43;-37,18;-29,81;0,93;0,45;;-0,11;;-22,00;-10,03;-1,52;0,46;0,54;0,23;3,62;;;10,78;-2,37;;596.809.425,00
DHCNI;12,92;10,88;-5,45;1,20;0,55;14,59;-6,14;-43,11;17,81;-37,18;-29,81;0,93;2,35;;-0,55;;-22,00;-10,03;-1,52;0,46;0,54;0,23;3,62;;;10,78;-2,37;;596.809.425,00
DHCNL;14,58;10,72;-6,15;1,35;0,62;14,59;-6,14;-43,11;20,10;-37,18;-29,81;0,93;2,65;;-0,62;;-22,00;-10,03;-1,52;0,46;0,54;0,23;3,62;;;10,78;-2,37;;596.809.425,00
DLR;120,79;4,04;102,72;2,04;0,84;56,20;16,44;6,99;13,89;66,15;22,50;1,05;7,18;;-0,84;;1,99;0,82;2,16;0,41;0,56;0,12;13,80;8,75;;59,08;1,18;;35.191.816.209,00
DOC;14,53;6,33;34,14;1,20;0,68;66,40;35,03;19,51;9,09;28,67;9,66;0,61;6,66;;-0,68;;3,51;2,00;3,92;0,57;0,43;0,10;8,99;22,30;;12,12;0,43;;3.463.931.658,00
DRE;48,20;0,58;19,55;2,95;1,69;41,81;95,22;85,63;12,98;21,08;3,50;0,59;16,74;;-1,69;;15,06;8,66;10,01;0,57;0,43;0,10;8,65;22,27;;16,37;2,47;;18.556.648.140,00
DRH;7,90;1,52;16,80;1,04;0,52;39,43;15,51;9,41;5,91;16,72;6,53;0,67;1,58;;-0,52;;6,21;3,10;5,78;0,50;0,50;0,33;2,86;3,60;;7,57;0,47;;1.657.334.680,00
DX;12,61;12,37;5,04;0,76;0,19;7,73;87,17;51,35;2,07;-0,41;-3,38;-0,86;2,59;;-0,19;;15,03;3,76;6,45;0,25;0,75;0,07;20,76;33,40;;16,66;2,50;;682.371.235,00
EARN;6,98;13,75;-9,29;0,84;0,09;;;;7,11;-66,24;-73,64;-8,35;;;-0,09;;-9,04;-0,92;11,11;0,10;0,90;0,00;;;;8,31;-0,75;;96.536.192,00
EGP;173,50;2,88;46,81;3,48;1,83;100,00;39,91;31,03;20,56;44,55;8,15;0,78;14,53;;-1,83;;7,44;3,92;5,37;0,53;0,47;0,13;12,18;17,48;;49,84;3,71;;7.705.273.800,00
ELS;70,52;2,43;46,24;9,11;2,38;47,27;28,94;19,72;20,84;39,88;8,36;2,42;9,12;;-2,38;;19,70;5,15;8,41;0,26;0,74;0,26;9,11;8,43;;7,74;1,53;;13.136.035.428,00
