TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PEAK;20,91;5,74;22,97;1,72;0,72;100,00;33,37;24,43;16,81;26,18;9,37;0,96;5,61;;-0,72;;7,48;3,16;5,14;0,42;0,57;0,13;2,60;3,86;;12,17;0,91;;11.433.222.075,00
PEB;12,91;0,31;-14,80;0,54;0,27;36,53;1,10;-7,89;106,41;259,19;152,78;0,78;1,17;-0,58;-0,28;0,08;-3,67;-1,79;0,28;0,49;0,51;0,23;12,59;;;23,79;-0,87;;1.626.437.948,00
PEI;2,45;;-0,09;-0,17;0,01;56,71;-5,82;-47,01;-0,75;-100,37;-99,61;;0,04;;-0,01;;-178,73;-7,49;-1,03;-0,04;1,04;0,16;-5,81;;;-14,72;-26,31;;13.155.275,00
PGRE;4,19;7,40;-39,10;0,25;0,11;100,00;16,06;-3,14;7,64;36,15;28,51;0,94;1,23;;-0,11;;-0,65;-0,28;1,56;0,42;0,58;0,09;0,59;;;16,56;-0,11;;909.157.094,00
PINE;16,37;6,69;7,74;0,88;0,40;100,00;96,22;65,75;5,29;11,17;5,88;0,98;5,09;;-0,40;;11,36;5,18;8,20;0,46;0,54;0,08;;;;18,61;2,11;;230.083.624,00
PK;11,26;2,49;15,44;0,58;0,26;65,73;16,79;6,48;5,95;14,71;8,76;0,85;1,00;3,27;-0,29;3,12;3,73;1,66;4,69;0,45;0,55;0,26;-2,17;-42,71;;19,54;0,73;;2.500.522.838,00
PLD;117,03;2,77;32,17;2,03;1,23;79,82;66,96;56,23;27,02;32,92;5,90;0,44;18,09;;-1,23;;6,31;3,82;5,01;0,61;0,39;0,07;17,94;15,43;;57,65;3,64;;108.068.895.870,00
PLYM;19,86;4,43;-50,61;1,81;0,56;69,16;8,24;-9,20;56,52;115,07;58,56;1,88;4,66;;-0,56;;-3,59;-1,11;1,09;0,31;0,66;0,12;49,21;;;10,95;-0,39;;854.593.674,00
PMT;11,57;15,64;-9,82;0,52;0,07;79,84;83,82;-22,77;2,67;-0,73;-3,40;-0,67;2,24;;-0,07;;-5,34;-0,75;4,55;0,14;0,86;0,03;;;;22,08;-1,18;;1.028.481.597,00
PSA;286,49;7,73;12,16;5,00;2,87;74,82;54,20;99,05;22,21;24,90;2,69;0,61;12,04;;-2,87;;41,12;23,60;13,38;0,57;0,43;0,24;9,40;29,99;;57,31;23,57;;50.352.737.526,00
PSB;187,44;3,48;11,84;2,91;2,39;70,28;137,87;98,58;8,47;8,33;-0,14;-0,05;11,68;;-2,39;;24,56;20,18;33,97;0,82;0,18;0,20;2,55;48,15;;64,43;15,82;;5.178.479.856,00
PSTL;14,38;6,50;73,44;1,23;0,56;76,01;19,00;7,23;27,93;47,13;19,20;0,85;5,31;;-0,56;;1,68;0,77;2,38;0,46;0,54;0,11;;;;11,65;0,20;;283.045.854,00
PW;3,41;;4,54;0,22;0,11;100,00;59,54;31,61;2,41;10,01;7,60;0,70;1,44;;-0,11;;4,87;2,45;5,16;0,50;0,41;0,08;33,75;;;15,42;0,75;;11.558.877,00
QTS;77,95;;1.850,29;2,85;1,39;66,15;7,08;0,55;144,95;183,57;38,62;0,76;10,27;;-1,39;;0,15;0,07;1,09;0,49;0,51;0,14;11,64;-4,79;;27,33;0,04;;6.009.726.740,00
RC;9,82;16,90;5,84;0,61;0,09;;;;1,72;8,09;6,37;2,25;;;-0,09;;10,40;1,60;9,93;0,15;0,85;0,00;;36,60;;16,17;1,68;;1.087.392.168,00
RCA;24,86;7,04;14,78;1,54;0,24;;;;4,34;8,09;6,37;2,25;;;-0,24;;10,40;1,60;9,93;0,15;0,85;0,00;;36,60;;16,17;1,68;;1.087.392.168,00
RCB;23,28;6,66;13,84;1,44;0,22;;;;4,07;8,09;6,37;2,25;;;-0,22;;10,40;1,60;9,93;0,15;0,85;0,00;;36,60;;16,17;1,68;;1.087.392.168,00
RCP;25,23;;15,00;1,56;0,24;;;;4,41;8,09;6,37;2,25;;;-0,24;;10,40;1,60;9,93;0,15;0,85;0,00;;36,60;;16,17;1,68;;1.087.392.168,00
REG;58,34;4,37;20,70;1,64;0,92;71,74;46,93;39,45;17,40;23,89;6,49;0,61;8,17;;-0,92;;7,92;4,45;5,81;0,56;0,44;0,11;4,46;38,92;;35,59;2,82;;9.994.102.886,00
