TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
HBRH11;97,50;0,609300;8,07;112,27;0,87;29.354,28;0,80;-1,01;;311.221.960,40;1.218,00;Ativa;2.772.204,00
HGRS11;0,00;;0,00;101,11;;;12,72;;;150.946.593,31;6,00;Ativa;1.492.940,00
VLIQ11;0,00;;0,00;0,00;;;;;;0,00;1,00;Ativa;0,00
PNLN11;0,00;;0,00;55,55;;;25,30;;;733.064,58;51,00;Ativa;13.196,00
VVPR11;101,50;0,892340;5,49;98,03;1,04;1.249.061,55;1,27;;2,23;226.032.234,18;1.372,00;Ativa;2.305.771,00
HTMX11;103,12;0,626698;6,34;138,89;0,75;265.283,88;3,42;10,66;-2,52;208.940.976,80;25.607,00;Ativa;1.504.334,00
RNGO11;47,70;0,430000;10,46;86,55;0,55;84.725,06;1,81;-1,62;-12,44;231.610.634,93;11.807,00;Passiva;2.676.000,00
GSFI11;4,93;;0,00;14,14;0,35;19.244,55;1,46;;22,14;1.063.395.611,96;7.082,00;Ativa;75.198.136,00
CACR11;104,81;1,420000;16,70;104,75;1,00;414.503,12;2,30;;;189.335.299,01;9.048,00;Ativa;1.807.434,00
VXXV11;998,00;10,760000;0,00;987,05;1,01;3.415.483,00;0,10;;;261.846.981,83;22,00;Ativa;265.282,00
JFLL11;57,91;0,620000;12,97;101,01;0,57;60.022,97;2,38;;;151.570.078,64;4.107,00;Ativa;1.500.598,00
GTWR11;75,20;0,790000;12,01;94,77;0,79;675.431,21;1,03;3,12;-10,24;1.137.277.154,96;26.876,00;Ativa;12.000.000,00
IBCR11;76,52;1,000000;17,19;93,94;0,81;216.740,42;12,92;;;90.030.006,18;4.088,00;Ativa;958.423,00
ALZM11;82,62;0,850000;15,01;90,89;0,91;145.872,94;0,95;;;62.825.508,29;3.777,00;Ativa;691.192,00
FCFL11;102,30;0,803899;9,63;116,16;0,88;308.539,97;0,61;14,36;-3,07;403.538.856,58;3.746,00;Ativa;3.474.010,00
CYCR11;7,99;0,100000;16,42;9,60;0,83;380.893,55;13,67;;;156.698.165,40;6.848,00;Ativa;16.315.840,00
AURB11;0,00;0,550000;0,00;89,75;;;1,34;;;79.026.451,73;5,00;Ativa;880.560,00
KNRI11;136,79;0,950000;7,86;160,01;0,85;3.025.754,70;3,64;10,87;-2,72;3.865.366.045,72;245.846,00;Ativa;24.157.121,00
