TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MATD3;7,86;1,14;25,56;1,85;0,63;36,60;18,93;7,71;10,40;13,02;2,54;0,45;1,97;3,94;-0,84;2,75;7,24;2,46;8,04;0,34;0,64;0,32;;;4.686.784,93;4,29;0,31;-2,97;3.054.815.269,79
MBLY3;3,07;;-3,66;0,58;0,37;39,57;-14,05;-13,75;-3,58;-3,10;0,48;-0,08;0,50;0,93;-0,89;3,13;-15,71;-10,10;-12,27;0,64;0,36;0,73;;;6.268.055,63;5,36;-0,84;1,51;327.988.904,32
MDIA3;38,40;5,06;21,14;1,98;1,17;29,04;6,84;6,48;20,02;22,55;2,50;0,25;1,37;5,33;-2,03;2,06;9,36;5,52;6,22;0,59;0,41;0,85;7,96;-4,68;52.228.186,67;19,45;1,82;2,19;13.068.450.000,00
MDNE3;6,35;;4,97;0,47;0,19;36,24;11,76;14,97;6,33;4,83;-1,40;-0,10;0,74;0,89;-0,31;2,50;9,39;3,92;5,13;0,42;0,58;0,26;0,55;;1.881.346,57;13,80;1,30;0,11;538.325.437,50
MEAL3;2,28;;-7,18;0,62;0,23;32,38;0,35;-3,99;80,91;115,69;37,25;0,29;0,29;-11,45;-0,29;0,91;-8,66;-3,23;0,36;0,37;0,63;0,81;3,75;;4.681.358,00;3,70;-0,32;-0,42;638.604.051,90
MEGA3;10,05;;-39,72;1,38;0,37;24,23;19,57;-8,45;17,15;37,26;20,02;1,61;3,36;-48,06;-0,45;0,96;-3,48;-0,93;2,42;0,27;0,73;0,11;;;18.032.288,33;7,32;-0,25;;5.787.119.418,88
MELK3;3,80;12,80;7,12;0,66;0,36;23,62;8,39;10,53;8,93;6,71;-2,27;-0,17;0,75;0,88;-1,30;2,31;9,26;5,05;4,78;0,55;0,41;0,48;;;1.192.646,50;5,76;0,53;0,07;794.442.882,62
MERC3;15,11;;38,85;1,08;0,87;78,31;-5,19;13,62;-101,96;-79,49;;;5,29;54,85;-0,89;;2,79;2,24;;0,80;0,20;0,16;-28,34;61,63;3.369,80;13,96;0,39;0,26;212.149.967,90
MERC4;7,45;6,12;19,15;0,53;0,43;78,31;-5,19;13,62;-50,27;-79,49;;;2,61;27,05;-0,44;;2,79;2,24;;0,80;0,20;0,16;-28,34;61,63;4.379,45;13,96;0,39;0,13;212.149.967,90
MGEL3;19,13;;1,34;-0,59;0,17;15,17;12,48;8,14;0,87;6,01;5,26;;0,11;0,43;-0,48;2,54;-43,65;12,63;21,13;-0,29;1,29;1,55;15,08;118,86;;-32,70;14,27;-0,02;95.248.733,90
MGEL4;14,99;;1,05;-0,46;0,13;15,17;12,48;8,14;0,68;6,01;5,26;;0,09;0,34;-0,37;2,54;-43,65;12,63;21,13;-0,29;1,29;1,55;15,08;118,86;38.932,36;-32,70;14,27;-0,02;95.248.733,90
MGLU3;3,46;;-62,37;2,14;0,64;27,34;0,70;-1,04;92,39;115,82;20,18;0,47;0,65;3,05;-1,51;1,58;-3,43;-1,03;-4,74;0,30;0,70;0,99;29,98;;855.852.906,33;1,60;-0,05;0,41;23.891.201.041,92
MILS3;12,24;2,29;14,23;2,51;1,53;61,32;28,58;21,60;10,75;11,21;0,51;0,12;3,07;5,94;-2,53;2,87;17,66;10,75;12,23;0,61;0,39;0,50;13,23;;16.020.148,93;4,89;0,86;0,06;3.009.894.220,32
MLAS3;4,08;3,02;7,47;0,80;0,53;23,11;12,00;10,97;6,83;7,15;0,36;0,04;0,82;0,94;-2,57;3,35;10,70;7,04;9,69;0,66;0,34;0,64;;;9.048.689,87;5,11;0,55;-0,17;3.331.389.253,50
MMXM3;14,00;;-2,17;-0,11;0,71;;;;-181,31;-719,57;-538,27;;;-0,10;-0,75;0,01;-4,97;-32,75;0,28;-6,58;7,60;0,00;-6,95;;;-129,88;-6,46;0,03;90.834.562,00
MNDL3;36,75;;-0,14;-0,12;0,07;36,60;13,16;-86,19;0,94;4,23;3,28;;0,12;-0,07;-0,11;0,25;-86,33;-50,05;-20,77;-0,58;1,58;0,58;10,41;;68.361,67;-297,91;-257,18;0,00;91.744.817,40
MNPR3;6,68;;1,14;-0,15;0,16;28,32;19,95;11,43;0,66;0,66;0,00;;0,13;-0,13;-0,33;0,30;-12,96;13,64;-19,67;-1,05;2,05;1,19;10,24;;19.819,38;-45,05;5,84;0,00;47.428.668,00
MOAR3;485,00;3,62;56,26;7,13;2,96;100,00;301.410,87;229.602,17;42,86;43,12;0,27;0,04;129.170,48;9,51;-5,23;3,53;12,67;5,26;5,13;0,42;0,58;0,00;-16,12;-12,94;628.066,84;68,03;8,62;-0,68;5.941.842.185,00
MODL11;8,46;3,63;27,41;1,51;0,25;58,04;12,02;5,04;11,50;11,50;;;1,38;;-0,31;;5,51;0,90;;0,16;0,84;0,18;;;3.256.574,36;5,61;0,31;-1,51;1.985.844.000,00
