TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
UVE;18,09;4,40;-24,88;1,92;0,19;23,25;-1,69;-1,82;-26,84;-31,69;-4,65;0,33;0,45;;-0,19;;-7,73;-0,77;-3,31;0,10;0,90;0,42;10,21;;;9,46;-0,73;;558.110.042,00
UVSP;24,95;3,35;9,40;0,95;0,10;0,00;33,63;23,67;6,62;2,14;-4,48;-0,64;2,22;;-0,10;;10,06;1,08;9,44;0,11;0,89;0,05;8,23;12,12;;26,51;2,67;;734.057.520,00
UVV;50,67;7,75;12,98;0,92;0,45;18,15;7,53;3,81;6,57;11,28;4,71;0,66;0,49;0,92;-1,53;3,26;7,06;3,48;6,34;0,49;0,51;0,91;0,31;-4,02;;55,42;3,91;;1.248.150.982,00
UXIN;2,40;;9,13;-0,53;0,64;2,21;-16,39;3,89;-2,17;-4,44;-2,28;;0,36;-2,77;-1,98;0,74;-5,76;7,04;63,67;-1,22;2,22;1,81;40,29;;;-4,55;0,26;;109.592.494,00
UZA;25,35;;71,56;0,47;0,19;70,83;5,64;0,72;9,14;19,89;12,46;0,64;0,51;4,07;-0,23;1,44;0,66;0,27;2,55;0,41;0,59;0,37;1,39;20,11;;53,78;0,35;;1.747.063.928,00
UZB;25,34;;71,53;0,47;0,19;70,83;5,64;0,72;9,13;19,89;12,46;0,64;0,51;4,06;-0,23;1,44;0,66;0,27;2,55;0,41;0,59;0,37;1,39;20,11;;53,78;0,35;;1.747.063.928,00
UZC;25,06;;70,74;0,47;0,19;70,83;5,64;0,72;9,03;19,89;12,46;0,64;0,51;4,02;-0,23;1,44;0,66;0,27;2,55;0,41;0,59;0,37;1,39;20,11;;53,78;0,35;;1.747.063.928,00
UZD;17,02;8,71;47,99;0,32;0,13;70,83;5,64;0,72;6,13;19,89;12,46;0,64;0,35;2,73;-0,15;1,44;0,66;0,27;2,55;0,41;0,59;0,37;1,39;20,11;;53,78;0,35;;1.747.063.928,00
UZE;15,08;9,12;42,57;0,28;0,11;70,83;5,64;0,72;5,43;19,89;12,46;0,64;0,31;2,42;-0,14;1,44;0,66;0,27;2,55;0,41;0,59;0,37;1,39;20,11;;53,78;0,35;;1.747.063.928,00
V;216,19;0,76;30,01;12,34;5,33;82,77;62,14;50,28;24,28;24,69;0,33;0,17;15,09;53,55;-7,92;1,44;41,10;17,77;25,77;0,43;0,57;0,35;9,81;17,43;;17,57;7,22;;456.802.190.974,00
VAC;132,77;2,02;12,64;1,98;0,51;45,08;15,03;8,40;7,06;10,25;3,19;0,90;1,06;2,07;-0,88;2,48;15,67;4,06;9,12;0,26;0,74;0,48;16,36;10,72;;67,03;10,50;;4.944.116.412,00
VACQ;11,57;;-18,78;-7,80;1,44;;;;-18,78;-18,78;0,00;;;-224,55;-1,45;0,14;-41,51;-7,69;41,51;-0,19;0,19;0,00;;;;-1,48;-0,62;;462.800.000,00
VACQU;12,65;;-20,54;-8,52;1,58;;;;-20,54;-18,78;0,00;;;-245,51;-1,58;0,14;-41,51;-7,69;41,51;-0,19;0,19;0,00;;;;-1,48;-0,62;;462.800.000,00
VACQW;3,20;;-5,19;-2,16;0,40;;;;-5,19;-18,78;0,00;;;-62,11;-0,40;0,14;-41,51;-7,69;41,51;-0,19;0,19;0,00;;;;-1,48;-0,62;;462.800.000,00
VALE;15,72;5,03;3,39;2,02;0,87;49,06;42,71;46,58;3,69;4,18;0,48;0,27;1,58;75,64;-1,05;1,07;59,77;25,71;29,71;0,43;0,57;0,55;14,67;41,32;;7,79;4,66;;70.153.313.369,00
VALU;46,65;2,14;24,21;5,50;3,45;100,00;60,48;45,08;18,05;17,53;-0,52;-0,16;10,91;;-3,45;;22,70;14,24;22,70;0,63;0,37;0,32;3,23;18,10;;8,49;1,93;;440.879.820,00
VAPO;0,63;;-0,26;-1,03;0,30;25,81;-152,10;-169,55;-0,29;-1,09;-0,80;;0,44;0,72;-0,80;3,06;-401,77;-117,74;-147,69;-0,29;1,29;0,69;13,42;;;-0,61;-2,45;;29.101.527,00
VAR;177,07;;58,60;7,23;3,59;43,92;10,60;8,90;49,22;46,88;-2,34;-0,34;5,22;18,14;-8,63;1,51;12,35;6,13;10,57;0,50;0,50;0,69;4,93;-8,14;;24,48;3,02;;16.261.898.617,91
VBF;15,95;4,75;0,01;0,00;0,00;100,00;52,38;30,42;0,00;2,30;2,29;0,42;0,00;;0,00;;10,56;0,92;3,51;0,09;0,91;0,03;427,74;322,82;;17.754,06;1.874,48;;181.389.047,76
VBFC;56,68;1,06;9,88;1,44;0,11;0,00;32,58;24,67;7,48;-7,42;-14,90;-2,87;2,44;;-0,11;;14,57;1,15;15,64;0,08;0,92;0,05;8,31;-1,62;;39,37;5,74;;84.045.104,00
VBIV;0,31;;-0,71;1,25;0,52;-942,14;-10.471,63;-10.471,63;-0,71;-0,59;0,12;-0,21;73,99;1,96;-1,03;2,10;-176,59;-73,06;-100,22;0,41;0,59;0,01;4,58;;;0,25;-0,44;;80.059.825,00
VBLT;0,14;;-0,36;0,28;0,22;51,92;-6.259,27;-4.751,92;-0,27;0,68;0,95;-0,99;17,07;0,36;-1,01;4,05;-79,07;-59,98;-104,16;0,76;0,24;0,01;-45,64;;;0,49;-0,39;;9.765.014,00
VBTX;18,51;5,40;6,86;0,69;0,08;0,00;42,47;29,13;4,70;1,60;-3,12;-0,46;2,00;;-0,08;;10,09;1,20;6,59;0,12;0,88;0,04;41,95;57,39;;26,77;2,70;;1.006.238.918,00
VC;151,31;;34,44;6,33;1,74;9,80;5,03;3,30;22,60;21,69;-0,92;-0,26;1,14;6,33;-5,77;1,65;18,37;5,06;14,06;0,28;0,72;1,53;3,61;-6,76;;23,94;4,40;;4.273.619.160,00
VCEL;29,58;;-83,91;7,29;5,14;66,80;-9,50;-10,17;-89,74;-82,58;7,65;-0,62;8,53;9,38;-16,28;4,99;-8,69;-6,12;-8,50;0,70;0,30;0,60;20,79;;;4,06;-0,35;;1.409.561.568,00
VCNX;0,41;;-0,90;2,77;2,03;100,00;-38.764,00;-38.736,00;-0,90;-0,54;0,36;-1,11;350,30;2,90;-29,84;4,04;-306,55;-224,90;-297,68;0,73;0,27;0,01;23,29;;;0,15;-0,45;;17.514.790,00
VCRA;79,13;;-325,57;17,06;4,97;66,12;-2,04;-3,63;-580,05;-556,19;23,86;-0,70;11,81;11,03;-17,69;2,68;-5,24;-1,53;-1,43;0,29;0,71;0,42;13,77;;;4,64;-0,24;;2.765.680.543,00
VCTR;29,49;3,61;7,27;1,88;0,79;100,00;48,59;33,98;5,08;7,50;2,40;0,89;2,47;;-0,79;;25,86;10,84;15,58;0,42;0,58;0,32;17,56;60,55;;15,77;4,08;;2.007.075.510,00
VCYT;22,11;;-44,09;1,50;1,39;65,74;-12,28;-12,33;-44,25;-39,28;4,91;-0,17;5,44;8,66;-1,78;3,97;-3,40;-3,16;-3,40;0,93;0,07;0,26;32,74;;;14,90;-0,51;;1.609.657.576,00
VEC;32,84;;27,38;2,82;1,11;8,71;2,81;2,02;19,72;21,41;1,68;0,24;0,55;12,83;-2,17;1,22;10,32;4,06;9,57;0,39;0,61;2,01;8,42;14,09;;11,63;1,20;;1.000.503.440,00
VECO;21,01;;6,54;1,89;0,97;40,73;9,67;25,84;17,46;17,06;-0,45;-0,05;1,69;2,65;-2,38;2,59;28,89;14,80;-6,27;0,51;0,49;0,57;6,32;;;11,18;3,23;;1.094.188.452,00
VEDL;16,50;;7,21;1,53;0,63;30,61;26,47;15,64;4,26;4,44;0,18;0,07;1,13;-41,78;-0,93;0,95;21,19;8,78;20,66;0,41;0,59;0,56;4,24;;;10,80;2,29;;15.333.436.800,00
VEEV;172,44;;68,14;7,90;6,46;72,03;23,74;19,08;54,75;48,73;-6,13;-0,88;13,00;10,01;-33,91;4,91;11,59;9,47;11,59;0,82;0,18;0,50;27,44;40,68;;21,96;2,55;;27.055.547.530,00
VEL;8,45;;8,64;0,73;0,07;0,00;76,84;12,08;1,36;2,77;1,42;0,76;1,04;;-0,07;;8,42;0,85;26,81;0,10;0,90;0,07;;18,15;;11,62;0,98;;273.914.355,00
VEON;15,43;;1,58;0,69;0,06;76,38;19,67;8,71;0,70;5,26;4,55;4,47;0,14;-0,46;-0,08;0,62;43,51;3,84;11,71;0,09;0,91;0,44;-2,60;-19,84;;22,34;9,72;;1.085.858.352,00
VERB;0,11;;-0,47;0,77;0,37;63,66;-240,61;-269,61;-0,53;-0,71;-0,17;0,25;1,28;-0,96;-0,40;0,19;-162,81;-77,38;-110,96;0,48;0,52;0,29;;;;0,14;-0,23;;12.778.293,00
VERBW;0,02;;-0,09;0,14;0,07;63,66;-240,61;-269,61;-0,10;-0,71;-0,17;0,25;0,23;-0,17;-0,07;0,19;-162,81;-77,38;-110,96;0,48;0,52;0,29;;;;0,14;-0,23;;12.778.293,00
