companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;liquidezmediadiaria;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend
723;PLURAL LOGÍSTICA FDO. INV. IMOB.;PLOG11;70,96;Ativa;12,7678;0,6676;106,29;71221,78;2,7233;;;3258,0;750000,0;79718648,16;0,75
509;PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB;PBLV11;926,98;Ativa;7,8869;0,5991;1547,35;;1,2496;;;2,0;3532371,0;5465826241,87;39,191985
70;BTG PACTUAL LOGISTICA FDO INV IMOB - FII;BTLG11;93,75;Ativa;9,4507;0,9492;98,77;4682439,44;4,0711;11,2776;-4,4595;205790,0;21066892,0;2080786893,98;0,74
4;Industrial do Brasil;FIIB11;440,3;Passiva;9,5162;0,9541;461,49;254156,85;1,4791;14,3125;-7,6481;16981,0;685000,0;316120517,04;3,25
102;RB Capital Desenvolvimento Residencial II;RBDS11;3,1;Ativa;0,0;0,1537;20,17;834,48;27,9862;18,9936;-60,4211;960,0;126523,0;2552558,17;2,3541434604
104;Ancar CI;ANCR11B;3450,0;Ativa;4,493;1,0021;3442,69;;0,6362;;;58,0;451113,0;1553043909,36;21,0386198581
106;Eldorado;ELDO11B;762,38;Passiva;13,1378;0,5278;1444,43;;0,2148;9,7622;;60,0;787256,0;1137137783,73;1,34
651;KINEA SECURITIES FDO. DE INV. IMOB. - FII;KNSC11;85,57;Ativa;12,9251;0,971;88,13;4441651,04;4,0355;;;82082,0;13275794,0;1169943360,09;1,04
738;YUCA FDO INV. IMOB.;YUFI11;99,25;Ativa;1,7674;0,9585;103,55;99,0;12,0905;;;42,0;492650,0;51015948,93;0,311534147
51;Sia Corporate;SAIC11B;37,88;Passiva;0,0;0,6791;55,78;947,0;4,0256;;-16,472;50,0;1429740,0;79753003,46;0,6622145495
41;FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;RCRB11;115,31;Ativa;7,224;0,5561;207,34;567462,15;1,6441;-7,4268;-17,3838;30564,0;3690695,0;765224834,6;0,73
131;BTG Pactual Crédito Imobiliário;BTCR11;88,0;Ativa;11,3409;0,9237;95,27;652774,65;8,0043;32,7838;-4,2386;16934,0;4810097,0;458252683,73;0,9
525;BRESCO LOGÍSTICA - FDO INV IMOB;BRCO11;94,44;Ativa;8,5028;0,7774;121,48;3011179,3;1,4468;6,5831;-10,3339;110494,0;14778781,0;1795398369,44;0,62
158;Valora RE III;VGIR11;9,73;Ativa;14,0699;1,0093;9,64;4067083,59;8,1039;37,0521;-2,7225;105040,0;103220707,0;994983513,26;0,11
828;FDO INV IMOBILIÁRIO DE UNIDADES AUTÔNOMAS;IDFI11;54,57;Ativa;17,6449;0,9752;55,96;3260,25;0,0091;;;221,0;2057925,0;115152374,12;0,113900407
146;Ouro Preto Desenvolvimento Imobiliário I;ORPD11;93,0;Ativa;0,0;0,6277;148,17;402,75;0,0;;0,7605;6,0;290000,0;42967967,54;1,37931
537;FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII;MCCI11;87,44;Ativa;14,6958;0,9453;92,5;4715103,96;0,7861;20,6556;-5,5628;105786,0;16960024,0;1568814602,47;1,15
123;XP Malls;XPML11;96,18;Ativa;8,8896;0,9528;100,94;4268902,07;9,5175;20,1992;-10,5316;293082,0;21314099,0;2151494117,7;0,9
667;EVEN II KINEA;KEVE11;965,08;Passiva;1,4887;1,0353;932,21;94872,25;4,0581;;;433,0;147700,0;137688411,05;3,0466957487
609;VECTIS JUROS REAL FDO INV. IMOB. - FII;VCJR11;88,51;Ativa;12,8347;0,9391;94,25;1025938,48;3,6709;15,2028;-6,2447;13619,0;14723970,0;1387773088,31;1,08
762;BARZEL FUNDO DE INVESTIMENTO IMOBILIÁRIO;BZEL11;0,0;Ativa;0,0;;108,11;;0,0363;;;3,0;3538046,0;382485116,52;
707;FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V;VTPA11;0,0;Ativa;0,0;;101,04;;0,1916;;;1,0;650000,0;65678170,51;
820;GENIAL RENDA URBANA FDO DE INV IMOB;GURB11;101,0;Ativa;5,4257;0,9455;106,82;25249,0;2,4087;;;15,0;1135160,0;121260083,43;1,4
9;JPP Capital;JPPC11;130,0;Ativa;5,5154;0,3561;365,06;2693,0;8,6924;;-35,5838;89,0;55000,0;20078317,36;0,17
587;SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.;SARE11;56,0;Ativa;13,7321;0,5934;94,37;1454736,52;10,3033;33,4333;-18,5927;33195,0;9234329,0;871406878,5;0,64
530;FDO INV IMOB - FII RBR DESENVOLVIMENTO;RBRM11;94794,81;--;42,6316;2,0181;46972,16;;0,4441;;;54,0;539,0;25317994,21;1186,423497573
604;RB CAPITAL DESENV. RESIDENCIAL IV;RBIR11;59,75;Ativa;0,4017;0,6268;95,33;48133,92;0,4214;;;1416,0;1528615,0;145722745,74;0,24
601;HUSI FDO INV. IMOB.;HUSI11;1137,61;Ativa;5,3821;1,1455;993,14;5070,5;1,8979;;;85,0;116362,0;115563688,11;7,386482
135;São Domingos;FISD11;0,0;Ativa;0,0;;74,87;;0,0004;;;23,0;1072588,0;80303690,54;6,5262689
126;HAZ;ATCR11;0,0;Ativa;0,0;;80,68;;0,5952;;;33,0;928908,0;74948728,12;0,22665118
116;SCP;SCPF11;5,15;Ativa;4,4293;0,4398;11,71;3191,44;2,8621;-27,8113;-27,1674;5007,0;4200000,0;49178815,85;0,047
60;XP Corporate Macaé;XPCM11;15,49;Passiva;12,2014;0,3513;44,09;76369,56;3,3162;-44,0483;-36,7098;27574,0;2414570,0;106454881,09;0,12
82;Brasil Varejo;BVAR11;0,0;Passiva;0,0;;1194,88;;1,1377;11,0606;;69,0;625540,0;747446106,95;12,91
703;FDO. INV. IMOB. A–TOWN;ATWN11;0,0;Passiva;0,0;;581,97;;1,4237;;;2,0;160757,0;93556352,37;
103;Grand Plaza Shopping;ABCP11;65,3;Passiva;9,1577;0,7137;91,49;79099,0;1,917;9,0156;-14,9118;19484,0;4709082,0;430849356,99;0,5
101;Lateres;PRSN11B;1,86;Ativa;9,23;0,3908;4,76;430,24;20,1193;;-26,0534;763,0;3231246,0;15378787,72;0,17167795
538;ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;ARRI11;9,2;Ativa;16,6547;1,0384;8,86;352458,11;5,2159;28,2638;-2,7087;19860,0;12228577,0;108402292,85;0,13
100;Lateres;LATR11B;10,0;Ativa;0,0;0,9276;10,78;205,0;101,5142;;;167,0;124104,0;1337936,51;14,50396442
17;NEWPORT RENDA URBANA FDO INV IMOB;NEWU11;47,79;Ativa;0,565;0,7369;64,85;6554,29;1,7183;59,423;;1695,0;742000,0;48119698,6;0,1
757;VECTIS RENDA RESIDENCIAL;VCRR11;69,71;Ativa;11,5335;0,5436;128,24;188318,44;1,0965;;;2788,0;2000000,0;256474438,02;0,67
669;RIZA AKIN;RZAK11;99,92;Ativa;17,9734;1,0663;93,71;3999304,07;3,5899;;;25578,0;4759958,0;446075435,06;1,4
39;Edifício Almirante Barroso;FAMB11B;710,0;Passiva;0,0;0,2365;3001,63;14748,93;2,2331;-9,8241;-36,818;2806,0;104800,0;314571281,9;9,16
661;HSI LOGÍSTICA;HSLG11;78,8;Ativa;10,2284;0,7509;104,94;648803,48;3,9967;;;24106,0;12660067,0;1328600695,85;0,7
