companyId;companyName;ticker;price;gestao;dy;p_vp;valorpatrimonialcota;liquidezmediadiaria;percentualcaixa;dividend_cagr;cota_cagr;numerocotistas;numerocotas;patrimonio;lastdividend
59;Vila Olímpia Corporate;VLOL11;98,99;Passiva;7,0209;0,9551;103,64;180383,97;1,4891;8,8303;-6,589;3354,0;1784828,0;184983344,36;0,61
583;INTER TÍTULOS IMOB. FDO INV. IMOB.;BICR11;92,35;Ativa;10,2328;0,9297;99,33;1207,95;34,3462;35,0299;-6,8205;533,0;500000,0;49664583,41;0,82
926;BRIX FUNDO DE INVESTIMENTO IMOBILIÁRIO;BRIX11;0,0;Ativa;0,0;;896,4;;0,6568;;;82,0;63741,0;57138202,14;
843;HEDGE SEED FUNDO DE INVESTIMENTO IMOBILIÁRIO;SEED11;100,0;Ativa;12,56;1,1583;86,33;750000,0;1,4795;;;112,0;1640000,0;141588553,37;1,0
932;JACARANDÁ 02 FUNDO DE INVESTIMENTO IMOBILIÁRIO FII;JCDB11;0,0;Ativa;0,0;;139,04;;0,4984;;;57,0;769499,0;106990753,66;
901;BRIO REAL ESTATE IV;BIPD11;0,0;Ativa;0,0;;984,53;;36,0493;;;108,0;18550,0;18263117,59;
592;BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.;BLMO11;20000,0;Ativa;1,3897;0,6756;29604,71;800000,0;2,1549;;;93,0;3797,0;112409084,07;36,21
904;DEVANT PROPERTIES FUNDO DE INVESTIMENTO IMOB;DPRO11;96,39;Ativa;6,2247;0,9926;97,11;215112,54;6,2814;;;137,0;371500,0;36078026,15;1,05
825;CSHG RESIDENCIAL FDO DE INV IMOB;HGRS11;0,0;Ativa;0,0;;101,61;;12,9681;;;6,0;1492940,0;151704854,23;
28;CIDADE JARDIM CONTINENAL TOWER;CJCT11;68,99;Passiva;0,0;1,0425;66,18;58729,21;5,5688;;1,2633;1204,0;3140000,0;207812137,01;0,33
130;Banestes Recebíveis Imobiliários;BCRI11;98,44;Ativa;15,0345;0,9755;100,91;631412,13;4,1106;11,2805;-7,08;47353,0;6257873,0;631486419,13;1,04
55;Cyrela Thera Corporate;THRA11;138,5;Passiva;0,0;14,5178;9,54;;140,4662;90,7344;-4,2938;2084,0;1472728,0;14050683,35;0,13
691;BTOWERS FII;BTWR11;105,49;Passiva;5,218;0,9418;112,01;91670,5;2,6633;;;64,0;809269,0;90648357,39;0,73
517;VINCI LOGÍSTICA FDO INV IMOB;VILG11;96,4;Ativa;8,8278;0,8586;112,27;2265610,23;0,6326;7,3446;-11,8422;156920,0;14997396,0;1683731866,6;0,7
546;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;SADI11;91,7;Ativa;12,9989;0,9259;99,04;662569,45;1,9856;60,2787;-1,8724;8103,0;3180207,0;314970824,76;1,05
663;GUARDIAN LOGISTICA;GALG11;9,05;Ativa;10,8397;0,9721;9,31;482199,13;1,7192;;;21737,0;57485300,0;535338307,95;0,082
754;FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I;ROOF11;774,0;Ativa;5,1065;1,1176;692,54;1948,0;12,0927;;;73,0;77495,0;53668144,93;7,91991313
944;FII CENTRAL LEBLON;CCLB11;0,0;Ativa;0,0;;99,12;;12,7311;;;21,0;630000,0;62443634,32;
35;Reag Renda Imobiliária;DOMC11;439,0;Ativa;0,0;4,0633;108,04;;0,4826;;-10,2888;1185,0;2443800,0;264027689,75;
599;FDO.INVEST. IMOB. MULTI RENDA URBANA;HBRH11;86,03;Ativa;9,4997;0,76;113,2;47159,19;0,8897;;;1342,0;2772204,0;313800866,55;0,6889
688;BLUEMACAW RENDA + FOF;BLMR11;6,79;Ativa;13,1491;0,8773;7,74;356151,26;2,6342;;;16954,0;25541630,0;197728483,87;0,065
831;NAVI RESIDENCIAL;APTO11;8,8;Ativa;14,6591;0,8835;9,96;37866,9;13,1262;;;4993,0;4012857,0;39948229,28;0,1
849;RBR PREMIUM RECEBÍVEIS IMOBILIÁRIOS FDO INV IMO;RPRI11;93,62;Ativa;12,0359;0,9308;100,58;155649,52;12,0809;;;2746,0;2241755,0;225470219,85;1,35
